reference_ri,compound_name,source_database,source_record_id,inchikey,plant_source,literature_reference,column_name,stationary_phase,index_type,instrument_type,spectrum_available,source_file,method_notes
1033.0,"1,8-cineole",RI_Library,RI_Library.csv:120,,DYAC,"Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1033.0,limonene,RI_Library,RI_Library.csv:121,,DAFO,"Lucero et. al., Journal of essential oil research 17 (2005) 645.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1033.0,limonene,RI_Library,RI_Library.csv:122,,GUSA,"Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1035.0,"1,8-cineole",RI_Library,RI_Library.csv:123,,ANCA,"Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1038.0,ocimene (e-beta-),MoNA Volatile FiehnLib,FiehnLibVolatile0128,IHPKGUQCSIINRJ-CSKARUKUSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1039.0,(Z)-b-ocimene,RI_Library,RI_Library.csv:124,,FLCE,"Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1039.0,(Z)-β-ocirnene,RI_Library,RI_Library.csv:125,,CHPU4,"Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1040.0,(Z)-β-ocimene,RI_Library,RI_Library.csv:126,,DYAC,"Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1041.0,(Z)-β-ocimene,RI_Library,RI_Library.csv:127,,ANCA,"Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1041.0,(Z)-β-ocimene,RI_Library,RI_Library.csv:128,,DAFO,"Lucero et. al., Journal of essential oil research 17 (2005) 645.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1041.0,(Z)-β-ocimene,RI_Library,RI_Library.csv:129,,GUSA,"Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1041.0,(Z)-β-ocimene,RI_Library,RI_Library.csv:130,,PSSC6,"Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1043.0,"1,8-cineole",RI_Library,RI_Library.csv:131,,CELAS2,"Lucero et. al., in Sosebee, D. et. al. (Editors), 13th Wildland Shrub Symposium:  Shrubland Dynamics: Fire & Water, U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station., Lubbock, TX, USA, 2004, p. 142.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1043.0,phenylacetaldehyde,RI_Library,RI_Library.csv:132,,DYAC,"Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1043.0,phenylacetaldehyde,RI_Library,RI_Library.csv:133,,FLCE,"Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1044.0,cresol (ortho-),MoNA Volatile FiehnLib,FiehnLibVolatile0113,QWVGKYWNOKOFNN-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1044.0,phenylacetaldehyde,RI_Library,RI_Library.csv:134,,DAFO,"Lucero et. al., Journal of essential oil research 17 (2005) 645.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1044.0,phenylacetaldehyde,RI_Library,RI_Library.csv:135,,GUSA,"Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1045.0,phenylacetaldehyde,MoNA Volatile FiehnLib,FiehnLibVolatile0032,DTUQWGWMVIHBKE-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1045.0,phenylacetaldehyde,RI_Library,RI_Library.csv:136,,PSSC6,"Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1047.0,bergamal,MoNA Volatile FiehnLib,FiehnLibVolatile0134,YGFGZTXGYTUXBA-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1050.0,(E)-b-ocimene,RI_Library,RI_Library.csv:137,,FLCE,"Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1050.0,(E)-β-ocirnene,RI_Library,RI_Library.csv:138,,CHPU4,"Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1051.0,(E)-β-ocimene,RI_Library,RI_Library.csv:139,,DYAC,"Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1052.0,(E)-β-ocimene,RI_Library,RI_Library.csv:140,,ANCA,"Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1052.0,(E)-β-ocimene,RI_Library,RI_Library.csv:141,,DAFO,"Lucero et. al., Journal of essential oil research 17 (2005) 645.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1052.0,(E)-β-ocimene,RI_Library,RI_Library.csv:142,,GUSA,"Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1052.0,(E)-β-ocimene,RI_Library,RI_Library.csv:143,,PSSC6,"Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1055.0,(E)-2-octenal,MoNA Volatile FiehnLib,FiehnLibVolatile0022,LVBXEMGDVWVTGY-VOTSOKGWSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1059.0,terpinene (gamma-),MoNA Volatile FiehnLib,FiehnLibVolatile0171,YKFLAYDHMOASIY-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1060.0,octanol,MoNA Volatile FiehnLib,FiehnLibVolatile0083,KBPLFHHGFOOTCA-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1061.0,artemisia ketone,RI_Library,RI_Library.csv:144,,FLCE,"Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1061.0,g-terpinene,RI_Library,RI_Library.csv:145,,FLCE,"Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1061.0,y-terpinene,RI_Library,RI_Library.csv:146,,CHPU4,"Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1061.0,y-terpinene,RI_Library,RI_Library.csv:147,,DYAC,"Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1062.0,y-terpinene,RI_Library,RI_Library.csv:148,,GUSA,"Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1062.0,y-terpinene,RI_Library,RI_Library.csv:149,,PSSC6,"Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1062.0,γ-terpinene,RI_Library,RI_Library.csv:150,,DAFO,"Lucero et. al., Journal of essential oil research 17 (2005) 645.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1064.0,dihydromyrcenol,MoNA Volatile FiehnLib,FiehnLibVolatile0097,XSNQECSCDATQEL-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1066.0,cresol (meta-),MoNA Volatile FiehnLib,FiehnLibVolatile0151,RLSSMJSEOOYNOY-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1066.0,acetophenone,RI_Library,RI_Library.csv:151,,CEGR,"Lucero et. al.,  Journal of essential oil research (in press).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1068.0,cis-sabinene hydrate,RI_Library,RI_Library.csv:152,,FLCE,"Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1069.0,acetophenone,MoNA Volatile FiehnLib,FiehnLibVolatile0055,KWOLFJPFCHCOCG-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1069.0,"linalool oxide (cis-, furanoid)",MoNA Volatile FiehnLib,FiehnLibVolatile0124,BRHDDEIRQPDPMG-LHIURRSHSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1069.0,cis-sabinene hydrate,RI_Library,RI_Library.csv:153,,ANCA,"Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1069.0,cis-sabinene hydrate,RI_Library,RI_Library.csv:154,,DYAC,"Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1070.0,cis-sabinene hydrate,RI_Library,RI_Library.csv:155,,GUSA,"Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1072.0,n-octanol,RI_Library,RI_Library.csv:156,,KOSP,current study,,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1072.0,n-octanol,RI_Library,RI_Library.csv:157,,CEGR,"Lucero et. al.,  Journal of essential oil research (in press).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1074.0,sabinene hydrate (cis-),MoNA Volatile FiehnLib,FiehnLibVolatile0170,KXSDPILWMGFJMM-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1074.0,cis-linalool oxide (furanoid),RI_Library,RI_Library.csv:158,,FLCE,"Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1075.0,tolualdehyde (para-),MoNA Volatile FiehnLib,FiehnLibVolatile0191,FXLOVSHXALFLKQ-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1075.0,m-cresol,RI_Library,RI_Library.csv:159,,CEGR,"Lucero et. al.,  Journal of essential oil research (in press).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1083.0,artemisia alcohol,RI_Library,RI_Library.csv:160,,FLCE,"Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1085.0,artemisia alcohol,RI_Library,RI_Library.csv:161,,CELAS2,"Lucero et. al., in Sosebee, D. et. al. (Editors), 13th Wildland Shrub Symposium:  Shrubland Dynamics: Fire & Water, U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station., Lubbock, TX, USA, 2004, p. 142.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1087.0,hexenyl propionate (3z-),MoNA Volatile FiehnLib,FiehnLibVolatile0115,LGTLDEUQCOJGFP-WAYWQWQTSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1087.0,"p-mentha-2,4(8)-diene",RI_Library,RI_Library.csv:162,,FLCE,"Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1088.0,terpinolene,RI_Library,RI_Library.csv:163,,DYAC,"Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1089.0,terpinolene,MoNA Volatile FiehnLib,FiehnLibVolatile0173,MOYAFQVGZZPNRA-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1089.0,"p-mentha-2,4(8)diene",RI_Library,RI_Library.csv:164,,CEGR,"Lucero et. al.,  Journal of essential oil research (in press).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1089.0,terpinolene,RI_Library,RI_Library.csv:165,,ANCA,"Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1089.0,terpinolene,RI_Library,RI_Library.csv:166,,CHPU4,"Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1089.0,terpinolene,RI_Library,RI_Library.csv:167,,FLCE,"Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1089.0,terpinolene,RI_Library,RI_Library.csv:168,,PSSC6,"Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1090.0,"p-mentha-2,4(8)-diene",RI_Library,RI_Library.csv:169,,GUSA,"Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1090.0,terpinolene,RI_Library,RI_Library.csv:170,,DAFO,"Lucero et. al., Journal of essential oil research 17 (2005) 645.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1091.0,methybenzoate,RI_Library,RI_Library.csv:171,,KOSP,current study,,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1092.0,linalool,MoNA Volatile FiehnLib,FiehnLibVolatile0084,CDOSHBSSFJOMGT-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1093.0,undecane,MoNA Volatile FiehnLib,FiehnLibVolatile0046,RSJKGSCJYJTIGS-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1096.0,trans-sabinene hydrate,RI_Library,RI_Library.csv:172,,DYAC,"Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1096.0,trans-sabinene hydrate,RI_Library,RI_Library.csv:173,,FLCE,"Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1097.0,methyl benzoate,MoNA Volatile FiehnLib,FiehnLibVolatile0071,QPJVMBTYPHYUOC-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1097.0,linalool,RI_Library,RI_Library.csv:174,,DYAC,"Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1099.0,linalool,RI_Library,RI_Library.csv:175,,ANCA,"Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1099.0,linalool,RI_Library,RI_Library.csv:176,,CHPU4,"Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1099.0,linalool,RI_Library,RI_Library.csv:177,,DAFO,"Lucero et. al., Journal of essential oil research 17 (2005) 645.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1099.0,linalool,RI_Library,RI_Library.csv:178,,FLCE,"Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1100.0,undecane,IPPN-UFRJ measured n-alkane standards,IPPN-STD-C11,,,"Measured C8–C30 n-alkane calibration supplied by Ricardo M Borges, IPPN-UFRJ",DB-5MS,5% phenyl / 95% dimethylpolysiloxane,linear retention index; n-alkane calibration point,GC-MS,not provided,KOVATS_from_MZMine2.53(1).csv,"Known n-alkane standard; measured RT 661.50 s (11.0250 min). RI 1100 by definition at this calibration point. Same-run calibration, not independent validation of compound identity."
1101.0,nonanal,MoNA Volatile FiehnLib,FiehnLibVolatile0013,GYHFUZHODSMOHU-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1104.0,ethyl hexanoic acid (2-),MoNA Volatile FiehnLib,FiehnLibVolatile0096,OBETXYAYXDNJHR-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1107.0,menth-2-en-1-ol (cis-para-),MoNA Volatile FiehnLib,FiehnLibVolatile0179,ZTYHGIAOVUPAAH-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1110.0,thujone (trans-),MoNA Volatile FiehnLib,FiehnLibVolatile0193,USMNOWBWPHYOEA-XKSSXDPKSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1111.0,"p-mentha-1,3,8-triene",RI_Library,RI_Library.csv:179,,FLCE,"Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1113.0,"1,3,8-p-menthatriene",RI_Library,RI_Library.csv:180,,GUSA,"Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1114.0,endo-fenchol,RI_Library,RI_Library.csv:181,,PSSC6,"Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1114.0,trans-thujone,RI_Library,RI_Library.csv:182,,GUSA,"Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1115.0,C08 FAME,MoNA Volatile FiehnLib,FiehnLibVolatile0003,JGHZJRVDZXSNKQ-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1118.0,phenyl ethyl alcohol,MoNA Volatile FiehnLib,FiehnLibVolatile0031,WAPNOHKVXSQRPX-UHFFFAOYSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1118.0,isophorone,RI_Library,RI_Library.csv:183,,DYAC,"Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1119.0,dehydro-sabina ketone,RI_Library,RI_Library.csv:184,,GUSA,"Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1121.0,cis-pinene hydrate,RI_Library,RI_Library.csv:185,,PSSC6,"Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1123.0,chrysanthenone,RI_Library,RI_Library.csv:186,,DYAC,"Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1123.0,cis-p-menth-2-en-1-ol,RI_Library,RI_Library.csv:187,,DAFO,"Lucero et. al., Journal of essential oil research 17 (2005) 645.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1124.0,ocimene (allo-),MoNA Volatile FiehnLib,FiehnLibVolatile0135,GQVMHMFBVWSSPF-SOYUKNQTSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
1127.0,α-campholenal,RI_Library,RI_Library.csv:188,,DAFO,"Lucero et. al., Journal of essential oil research 17 (2005) 645.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1127.0,α-campholenal,RI_Library,RI_Library.csv:189,,GUSA,"Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1127.0,α-campholenal,RI_Library,RI_Library.csv:190,,PSSC6,"Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.",,,unspecified in source,,no,RI_Library(1).csv,Column and index definition were not supplied in this file.
1134.0,hexenyl isobutanoate (3z-),MoNA Volatile FiehnLib,FiehnLibVolatile0109,OSMAJVWUIUORGC-WAYWQWQTSA-N,,,Rtx-5Sil MS,5% diphenyl / 95% dimethylpolysiloxane,Retention_index (alkane basis not explicit in export),GC-EI-TOF,yes; original MSP,MoNA-export-Volatile_FiehnLib(1).msp,GC oven: 50 C 1 min; 20 C/min to 330 C; hold 5 min. The distinct FAME retention index in Comments was not used.
